City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,upernavik,72.7868,-56.1549,43.03,83,71,14.54,GL,1628243435
1,chokurdakh,70.6333,147.9167,43.97,76,100,9.26,RU,1628243438
2,nome,64.5011,-165.4064,51.87,87,90,10.36,US,1628243441
3,atuona,-9.8,-139.0333,77.29,79,19,13.98,PF,1628243445
4,padang,-0.9492,100.3543,87.85,69,60,3.6,ID,1628243449
5,geraldton,-28.7667,114.6,64.81,63,0,8.05,AU,1628243452
6,nikolskoye,59.7035,30.7861,66.09,66,55,11.1,RU,1628243458
7,shasta lake,40.6804,-122.3708,69.96,50,6,5.1,US,1628243462
8,ubatuba,-23.4339,-45.0711,62.13,87,93,2.35,BR,1628243465
9,borogontsy,62.6683,131.1683,74.91,39,70,6.6,RU,1628243469
10,hobyo,5.3505,48.5268,82.49,62,100,28.34,SO,1628243472
11,san patricio,28.017,-97.5169,82.29,86,100,5.17,US,1628243475
12,saint george,37.1041,-113.5841,92.95,25,1,8.01,US,1628243461
13,vaini,-21.2,-175.2,71.76,88,75,9.22,TO,1628243482
14,caracuaro,19.0106,-101.1264,69.24,96,99,2.44,MX,1628243489
15,redmond,47.674,-122.1215,67.98,88,100,1.01,US,1628243404
16,troitsko-pechorsk,62.7084,56.1964,61.32,52,86,8.57,RU,1628243498
17,sitka,57.0531,-135.33,55.29,88,40,4.61,US,1628243505
18,ingham,42.6,-84.3833,64.02,88,1,0.0,US,1628243508
19,salinopolis,-0.6136,-47.3561,77.94,85,15,6.69,BR,1628243512
20,aleysk,52.4926,82.7822,71.65,62,93,3.74,RU,1628243515
21,kralendijk,12.15,-68.2667,80.58,83,40,11.5,BQ,1628243518
22,cayenne,4.9333,-52.3333,73.44,91,0,1.99,GF,1628243525
23,yingcheng,30.95,113.55,95.05,71,46,10.13,CN,1628243528
24,punta arenas,-53.15,-70.9167,33.91,80,75,16.11,CL,1628243532
25,mackay,-21.15,149.2,64.38,59,100,8.05,AU,1628243535
26,abrau-dyurso,44.69,37.59,87.26,61,3,8.5,RU,1628243539
27,campeche,19.0,-90.5,70.72,91,65,2.82,MX,1628243548
28,rikitea,-23.1203,-134.9692,73.76,78,8,13.51,PF,1628243552
29,tiksi,71.6872,128.8694,40.44,90,100,17.05,RU,1628243555
30,hithadhoo,-0.6,73.0833,81.95,70,100,8.12,MV,1628243558
31,terre haute,39.4667,-87.4139,66.51,92,1,0.0,US,1628243562
32,comodoro rivadavia,-45.8667,-67.5,53.46,37,0,14.97,AR,1628243565
33,new norfolk,-42.7826,147.0587,53.1,60,99,3.0,AU,1628243569
34,sungaipenuh,-2.0833,101.3833,72.21,86,98,2.06,ID,1628243294
35,skjervoy,70.0311,20.9714,54.73,76,100,7.78,NO,1628243578
36,saint-michel-des-saints,46.6834,-73.9159,62.94,85,18,3.38,CA,1628243582
37,mataura,-46.1927,168.8643,44.47,98,100,3.06,NZ,1628243585
38,saint-philippe,-21.3585,55.7679,75.22,78,11,12.39,RE,1628243588
39,bluff,-46.6,168.3333,44.8,86,100,16.42,NZ,1628243592
40,christchurch,-43.5333,172.6333,46.9,90,90,1.99,NZ,1628243535
41,atlantic beach,30.3344,-81.3987,76.05,94,20,1.01,US,1628243598
42,pevek,69.7008,170.3133,39.13,98,99,2.39,RU,1628243602
43,ostrovnoy,68.0531,39.5131,61.7,59,91,3.06,RU,1628243605
44,oussouye,12.485,-16.5469,77.18,79,100,10.8,SN,1628243618
45,thompson,55.7435,-97.8558,42.96,93,90,4.61,CA,1628243625
46,mar del plata,-38.0023,-57.5575,54.09,31,90,10.0,AR,1628243628
47,ushuaia,-54.8,-68.3,35.26,93,75,5.75,AR,1628243492
48,kamphaeng phet,16.25,99.5,84.56,73,87,4.59,TH,1628243635
49,albany,42.6001,-73.9662,62.64,92,1,2.73,US,1628243356
50,cabo san lucas,22.8909,-109.9124,83.52,80,75,1.01,MX,1628243641
51,tasiilaq,65.6145,-37.6368,40.53,78,100,3.8,GL,1628243645
52,sibolga,1.7427,98.7792,84.09,74,98,5.1,ID,1628243648
53,enid,36.3956,-97.8784,70.14,95,1,3.0,US,1628243457
54,leningradskiy,69.3833,178.4167,36.61,94,100,9.73,RU,1628243655
55,lebu,-37.6167,-73.65,50.97,89,100,4.34,CL,1628243658
56,tuktoyaktuk,69.4541,-133.0374,37.8,83,100,17.78,CA,1628243661
57,ekhabi,53.5102,142.9671,55.58,87,100,11.83,RU,1628243665
58,katsuura,35.1333,140.3,89.11,88,14,7.9,JP,1628243668
59,flinders,-34.5833,150.8552,56.8,64,0,10.76,AU,1628243672
60,port alfred,-33.5906,26.891,64.29,75,41,15.08,ZA,1628243675
61,hami,42.8,93.45,96.93,11,96,18.14,CN,1628243678
62,sale,34.0389,-6.8166,75.88,73,40,5.75,MA,1628243682
63,busselton,-33.65,115.3333,57.22,73,0,7.67,AU,1628243685
64,jamestown,42.097,-79.2353,61.84,95,1,4.21,US,1628243689
65,bengkulu,-3.8004,102.2655,82.72,73,74,3.15,ID,1628243692
66,barrow,71.2906,-156.7887,35.62,77,90,13.8,US,1628243695
67,kutum,14.2,24.6667,87.4,38,54,14.56,SD,1628243699
68,tura,25.5198,90.2201,85.05,83,60,2.62,IN,1628243703
69,sindi,20.8,78.8667,83.28,71,93,10.47,IN,1628243707
70,puerto ayora,-0.7393,-90.3518,70.56,94,37,5.99,EC,1628243713
71,oistins,13.0667,-59.5333,80.69,78,40,14.97,BB,1628243720
72,troyes,48.3333,4.0833,66.25,68,75,17.27,FR,1628243723
73,pisco,-13.7,-76.2167,61.02,82,90,3.44,PE,1628243727
74,palm valley,30.1775,-81.3876,76.05,95,27,7.02,US,1628243730
75,fairbanks,64.8378,-147.7164,68.0,77,75,4.61,US,1628243733
76,ahipara,-35.1667,173.1667,55.72,86,40,23.0,NZ,1628243737
77,torbay,47.6666,-52.7314,70.48,96,90,24.16,CA,1628243740
78,tukrah,32.5341,20.5791,90.37,44,0,6.11,LY,1628243744
79,hobart,-42.8794,147.3294,53.46,61,20,3.0,AU,1628243723
80,mount gambier,-37.8333,140.7667,49.91,87,90,8.05,AU,1628243750
81,aswan,24.0934,32.907,105.1,29,0,16.11,EG,1628243754
82,avarua,-21.2078,-159.775,69.85,83,75,4.61,CK,1628243757
83,broken hill,-31.95,141.4333,51.51,66,94,5.75,AU,1628243761
84,okhotsk,59.3833,143.3,61.45,59,70,14.29,RU,1628243764
85,chuy,-33.6971,-53.4616,57.25,90,99,8.68,UY,1628243768
86,lenger,42.183,69.8839,96.24,13,16,7.45,KZ,1628243771
87,dingle,10.9995,122.6711,81.77,79,80,11.03,PH,1628243774
88,hambantota,6.1241,81.1185,91.74,66,40,18.41,LK,1628243778
89,ribeira grande,38.5167,-28.7,75.6,69,40,5.75,PT,1628243781
90,castro,-24.7911,-50.0119,46.27,99,100,5.59,BR,1628243785
91,hermanus,-34.4187,19.2345,67.89,71,0,3.91,ZA,1628243788
92,boleslawiec,51.2642,15.5697,73.17,59,58,5.7,PL,1628243792
93,tijuana,32.5333,-117.0167,67.77,88,90,0.0,MX,1628243758
94,arraial do cabo,-22.9661,-42.0278,66.06,94,75,5.75,BR,1628243801
95,wau,7.7029,27.9953,92.19,46,61,3.13,SS,1628243805
96,araouane,18.9048,-3.5265,91.53,36,22,12.73,ML,1628243808
97,paamiut,61.994,-49.6678,43.23,92,73,0.2,GL,1628243812
98,san rafael,-34.6177,-68.3301,55.44,32,99,4.23,AR,1628243815
99,madang,-5.2246,145.7966,78.98,86,53,8.63,PG,1628243818
100,sessa aurunca,41.2408,13.9328,83.64,71,13,9.55,IT,1628243822
101,kodiak,57.79,-152.4072,53.11,94,90,3.44,US,1628243825
102,tsaratanana,-16.7833,47.65,79.84,33,1,9.6,MG,1628243828
103,cherskiy,68.75,161.3,44.94,82,82,7.99,RU,1628243832
104,clyde river,70.4692,-68.5914,37.63,100,90,8.05,CA,1628243839
105,bambous virieux,-20.3428,57.7575,74.21,68,75,10.36,MU,1628243842
106,sao miguel do araguaia,-13.275,-50.1628,68.43,42,100,6.38,BR,1628243845
107,dongsheng,39.8161,109.9776,79.45,18,100,5.01,CN,1628243849
108,dali,25.7,100.1833,77.04,61,64,4.76,CN,1628243852
109,kitui,-1.367,38.0106,78.04,41,58,9.6,KE,1628243856
110,qaanaaq,77.484,-69.3632,42.8,59,3,5.68,GL,1628243859
111,yellowknife,62.456,-114.3525,56.28,67,40,8.05,CA,1628243862
